The Associated Press ENPS News Production System,Collaborative news production platforms
NewsBoss MoJo,Collaborative news production platforms
Myriad News,Collaborative news production platforms
Octopus,Collaborative news production platforms
Open Media,Collaborative news production platforms
Avid Pro Tools,Music or sound editing software
Adobe Audition,Music or sound editing software
Ableton Live,Music or sound editing software
Hindenburg Pro,Music or sound editing software
Audacity,Music or sound editing software
Musical Instrument Digital Interface (MIDI) sequencers,Sound and audio hardware
Universal Serial Bus (USB) microphones,Sound and audio hardware
Mixing desks,Sound and audio hardware
Public address system,Sound and audio hardware
Radio broadcast desk,Sound and audio hardware
Adobe After Effects,Video creation and editing software
Adobe Premiere Pro,Video creation and editing software
YouTube,Video creation and editing software
Apple Final Cut Pro,Video creation and editing software
MAXON CINEMA 4D,Video creation and editing software
Microsoft Office SharePoint Server MOSS,Audio/video conferencing software
Microsoft Teams,Audio/video conferencing software
Skype,Audio/video conferencing software
Zoom,Audio/video conferencing software
Cisco Webex,Audio/video conferencing software
Unified messaging software,Instant messaging software
WhatsApp,Instant messaging software
Microsoft Teams,Instant messaging software
Telegram,Instant messaging software
Cisco Jabber,Instant messaging software
Premise Branch Exchange (PBX) equipment,Premise automated branch exchange (PABX) systems
On-premisis exchange,Premise automated branch exchange (PABX) systems
SIP trunking system,Premise automated branch exchange (PABX) systems
Hosted exchange,Premise automated branch exchange (PABX) systems
Salesforce software,Customer relationship management (CRM) software
Microsoft Dynamics,Customer relationship management (CRM) software
MarketSharp,Customer relationship management (CRM) software
Oracle Eloqua,Customer relationship management (CRM) software
Oracle Siebel CRM,Customer relationship management (CRM) software
Medallia,Customer survey and experience management systems
Qualtrics XM,Customer survey and experience management systems
Salesforce,Customer survey and experience management systems
Confirmit,Customer survey and experience management systems
Zendesk,Customer survey and experience management systems
Interactive voice response software,Voice recognition and response software
Voice recognition software,Voice recognition and response software
DSC Pacer Interactive Voice Response System,Voice recognition and response software
IncidentTrack,Athlete performance and injury monitoring software
Simtrak,Athlete performance and injury monitoring software
Hyperion,Business intelligence and decision support software
Microsoft Power BI,Business intelligence and decision support software
SAP Crystal Reports,Business intelligence and decision support software
Qlik Tech QlikView,Business intelligence and decision support software
Microsoft SQL Server Reporting Services,Business intelligence and decision support software
BLAT,Science and engineering software
ANSYS,Science and engineering software
Agilent ChemStation,Science and engineering software
DHI Water and Environment MIKE SHE,Science and engineering software
HEC RAS,Science and engineering software
Altera Quartus II,Science and engineering software
Wallingford Software InfoSewer,Science and engineering software
Wallingford Software InfoWorks WS,Science and engineering software
Accelrys Cerius2,Science and engineering software
Agilent Technologies GeneSpring GX,Science and engineering software
Air dispersion modeling software,Science and engineering software
Ansoft Simplorer,Science and engineering software
ANSYS FLUENT,Science and engineering software
ANSYS LS-DYNA,Science and engineering software
ANSYS Multiphysics,Science and engineering software
Architectural Energy Corporation ENFORMA Building Diagnostics,Science and engineering software
Axxya Systems Nutritionist Pro,Science and engineering software
Basic Local Alignment Search Tool BLAST,Science and engineering software
BD Biosciences CellQuest,Science and engineering software
BehavePlus,Science and engineering software
Bentley Systems gINT,Science and engineering software
Bioconductor,Science and engineering software
Cadence PSpice,Science and engineering software
Centers for Disease Control and Prevention Epi Info,Science and engineering software
Circuit simulation software,Science and engineering software
Citilabs Cube,Science and engineering software
Clover Technology GALENA,Science and engineering software
ClustalW,Science and engineering software
Computational fluid dynamics CFD software,Science and engineering software
COMSOL Multiphysics,Science and engineering software
Cool Roof Calculator,Science and engineering software
CrystalMaker,Science and engineering software
Cufflinks,Science and engineering software
Dassault Systemes Abaqus,Science and engineering software
Deoxyribonucleic acid DNA sequence analysis software,Science and engineering software
DesignBuilder Software DesignBuilder,Science and engineering software
DHI MIKE URBAN,Science and engineering software
Dynamic modeling software,Science and engineering software
Ecological risk assessment software,Science and engineering software
Empirisoft MediaLab,Science and engineering software
Energy cost evaluation software,Science and engineering software
Energy Efficient Rehab Advisor,Science and engineering software
EnergyPlus,Science and engineering software
EnzymeX,Science and engineering software
ETAP,Science and engineering software
Expert Health Data Programming Vitalnet,Science and engineering software
Facility Energy Decision Systems FEDS,Science and engineering software
FARSITE,Science and engineering software
FASTA,Science and engineering software
Federal Renewable Energy Screening Assistant FRESA,Science and engineering software
Finite difference time domain FDTD software,Science and engineering software
Finite element analysis FEA software,Science and engineering software
Finite element analysis software,Science and engineering software
Finite element method FEM software,Science and engineering software
FishXing,Science and engineering software
FlamMap,Science and engineering software
Fluke Corporation FlukeView Forms,Science and engineering software
Gas dispersion model software,Science and engineering software
Gaussian software,Science and engineering software
GE Energy GateCycle,Science and engineering software
Gemcom Surpac,Science and engineering software
Gene Codes Sequencher,Science and engineering software
Genome Analysis ToolKit GATK,Science and engineering software
GNOME Gnutrition,Science and engineering software
GraphPad Software GraphPad Prism,Science and engineering software
Grid analysis and display system GrADS,Science and engineering software
Groundwater modeling system GMS,Science and engineering software
Groundwater Vistas,Science and engineering software
HEC-1,Science and engineering software
HEC-HMS,Science and engineering software
HEC-RAS,Science and engineering software
Hierarchical simulation program with integrated circuit emphasis HSPICE,Science and engineering software
Humidity and vapor drive calculation software,Science and engineering software
Hydraulic modeling software,Science and engineering software
Hydrologic simulation program fortan HSPF software,Science and engineering software
HydroSOLVE AQTESOLV,Science and engineering software
IHS PETRA,Science and engineering software
Illumina Laboratory Information Management System LIMS,Science and engineering software
InterEnergy Software Building Energy Analyzer PRO,Science and engineering software
Itron Enterprise Energy Management EEM Suite,Science and engineering software
ITT Exelis Visual Information Solutions ENVI,Science and engineering software
Laboratory information management system LIMS,Science and engineering software
Landfill gas analysis software,Science and engineering software
Landmark GeoGraphix,Science and engineering software
Landtec System Software LFG Pro,Science and engineering software
MapShots EASi Suite,Science and engineering software
Maptek Vulcan,Science and engineering software
Mathsoft Mathcad,Science and engineering software
MAYA Nastran,Science and engineering software
McTrans HCS+,Science and engineering software
Mendel,Science and engineering software
Molecular simulation software,Science and engineering software
MSC Software Adams,Science and engineering software
MSC Software Nastran,Science and engineering software
MSC Software Patran,Science and engineering software
MWH Soft InfoSWMM,Science and engineering software
Neural network modeling software,Science and engineering software
Noldus Information Technology The Observer,Science and engineering software
North American Insulation Manufacturers Association NAIMA 3E Plus,Science and engineering software
OriginLab Origin,Science and engineering software
Parameter Estimation PEST,Science and engineering software
Performance Systems Development TREAT,Science and engineering software
Phrap,Science and engineering software
Phred,Science and engineering software
PHYLIP,Science and engineering software
Plume modeling software,Science and engineering software
Primer3,Science and engineering software
Program for Energy Analysis of Residences PEAR,Science and engineering software
Protein Explorer,Science and engineering software
Retrofit Energy Savings Estimation Model RESEM,Science and engineering software
RockWare ChemFlux,Science and engineering software
RockWare Geochemist's Workbench GWB,Science and engineering software
RockWare MODFLOW,Science and engineering software
RockWare RockWorks,Science and engineering software
Roofing Calculator,Science and engineering software
RSI ENVI,Science and engineering software
RSI interactive data language IDL software,Science and engineering software
Schlumberger Petrel,Science and engineering software
Scientific Software Group FEFLOW,Science and engineering software
Scientific Software Group Filter Drain FD,Science and engineering software
Scientific Software Group Infinite Extent,Science and engineering software
Scientific Software Group MIGRATE,Science and engineering software
Scientific Software Group SVHeat,Science and engineering software
Scientific Software International HLM,Science and engineering software
Scientific Software International LISREL,Science and engineering software
Seismic Micro-Technology KINGDOM,Science and engineering software
Signal analysis software,Science and engineering software
Simulation program with integrated circuit emphasis SPICE,Science and engineering software
Spectroscopy software,Science and engineering software
Speech analysis software,Science and engineering software
Starpint Software Super Slug,Science and engineering software
Stormwater runoff modeling software,Science and engineering software
Synergy Software KaleidaGraph,Science and engineering software
Synopsys HSPICE,Science and engineering software
Systat Software SigmaPlot,Science and engineering software
Textco BioSoftware Gene Inspector,Science and engineering software
The MathWorks MATLAB,Science and engineering software
The MathWorks Real-Time Workshop,Science and engineering software
The MathWorks SimBiology,Science and engineering software
The MathWorks Simulink,Science and engineering software
Time and motion analysis software,Science and engineering software
Trane TRACE,Science and engineering software
Unidata Integrated Data Viewer IDV,Science and engineering software
Vibration analysis software,Science and engineering software
Visual MODFLOW Pro,Science and engineering software
Visual Numerics PV-WAVE,Science and engineering software
Visual Solutions VisSIM,Science and engineering software
Ward Systems Group GeneHunter,Science and engineering software
Ward Systems Group NeuralShell Predictor,Science and engineering software
Water flow modeling software,Science and engineering software
Waterloo Hydrogeologic AquaChem,Science and engineering software
Waters Millennium32,Science and engineering software
Wavefunction Spartan,Science and engineering software
